Application_Name,Num_Blocks,MTBF_Input,MTTR_Input,System_MTBF,System_MTTR
none,1,987137.8067,1,987137.8066,1
none,2,987137.8067,1,493568.9033,2
none,4,987137.8067,1,246784.4517,4
none,8,987137.8067,1,123392.2258,8
none,16,987137.8067,1,61696.11299,16
none,32,987137.8067,1,30848.05655,32
none,64,987137.8067,1,15424.02829,64
none,128,987137.8067,1,7712.014113,128
none,256,987137.8067,1,3856.007028,256
none,512,987137.8067,1,1928.003507,512
RM,1,1157597.828,1,1157597.828,1
RM,2,1157597.828,1,578798.9141,2
RM,4,1157597.828,1,289399.4571,4
RM,8,1157597.828,1,144699.7285,8
RM,16,1157597.828,1,72349.86416,16
RM,32,1157597.828,1,36174.93200,32
RM,64,1157597.828,1,18087.46598,64
RM,128,1157597.828,1,9043.732968,128
RM,256,1157597.828,1,4521.866435,256
RM,512,1157597.828,1,2260.933205,512
WSM,1,2025612.832,1,2025612.832,1
WSM,2,2025612.832,1,1012806.416,2
WSM,4,2025612.832,1,506403.2080,4
WSM,8,2025612.832,1,253201.6041,8
WSM,16,2025612.832,1,126600.8021,16
WSM,32,2025612.832,1,63300.40089,32
WSM,64,2025612.832,1,31650.20039,64
WSM,128,2025612.832,1,15825.10018,128
WSM,256,2025612.832,1,7912.549954,256
WSM,512,2025612.832,1,3956.274848,512
Gekko,1,1066882.0,1,1066882.000,1
Gekko,2,1066882.0,1,533440.9999,2
Gekko,4,1066882.0,1,266720.5000,4
Gekko,8,1066882.0,1,133360.2500,8
Gekko,16,1066882.0,1,66680.12503,16
Gekko,32,1066882.0,1,33340.06251,32
Gekko,64,1066882.0,1,16670.03126,64
Gekko,128,1066882.0,1,8335.015596,128
Gekko,256,1066882.0,1,4167.507762,256
Gekko,512,1066882.0,1,2083.753872,512
