time (h);None;RM;WSM
0;1;1;1
730;0.684142642;0.719921127;0.838273605
1460;0.468051154;0.518286429;0.702702636
2190;0.320213753;0.37312535;0.589057072
2920;0.219071883;0.268620822;0.493790995
3650;0.149876417;0.193385805;0.413931957
4380;0.102536848;0.139222527;0.346988234
5110;0.07014983;0.100229238;0.290871078
5840;0.04799249;0.072157146;0.243829547
6570;0.032833709;0.051947454;0.204395873
7300;0.02246294;0.03739807;0.171339665
8030;0.015367855;0.02692366;0.143629519
8760;0.010513805;0.019382912;0.120400834
9490;0.007192942;0.013954168;0.100928841
10220;0.004920999;0.0100459;0.084605984
10950;0.003366665;0.007232256;0.070922963
11680;0.002303279;0.005206654;0.059452848
12410;0.001575771;0.00374838;0.049837753
13140;0.001078052;0.002698538;0.041777673
13870;0.000737541643428798;0.001942735;0.03502112
14600;0.000504583688400032;0.001398616;0.029357281
15330;0.00034520721760974;0.001006893;0.024609434
16060;0.000236170977836661;0.000724883490152594;0.020629439
16790;0.000161574636702348;0.000521858939043188;0.017293114
17520;0.000110540098807364;0.000375697275436537;0.014496361