Number_Nodes_ECMWF,Performance_ECMWF_10m,Performance_ECMWF_1h,Performance_ECMWF_1d,Number_Nodes_LQCD,Performance_LQCD_10m,Performance_LQCD_1h,Performance_LQCD_1d,Performability_Combined_10m,Performability_Combined_1h,Performability_Combined_1d,CompositeDesirability
128,25710.498634561685,25380.673680386302,16318.853832989353,128,29680.790253307496,29300.031291791915,18838.859572550227,55391.2888878692,54680.7049721782,35157.7134055396,0.5904617166464278
64,12922.842586779434,12881.47455038763,11741.508137420537,128,29680.790253307496,29300.031291791915,18838.859572550227,42603.6328400869,42181.5058421795,30580.3677099708,0.560987313994937
128,25710.498634561685,25380.673680386302,16318.853832989353,64,14441.094847361011,14394.866035374142,13120.969584114657,40151.5934819227,39775.5397157604,29439.823417104,0.543752880572537
32,6324.837620473849,6319.7781726092335,6180.238631649155,128,29680.790253307496,29300.031291791915,18838.859572550227,36005.6278737813,35619.8094644011,25019.0982041994,0.5195254671715311
128,25710.498634561685,25380.673680386302,16318.853832989353,32,7460.969053401793,7455.0007833279,7460.969053401793,33171.4676879635,32835.6744637142,23779.8228863911,0.497741628035514
16,3262.023024118206,3261.370769075867,3243.3740775820897,128,29680.790253307496,29300.031291791915,18838.859572550227,32942.8132774257,32561.4020608678,22082.2336501323,0.4957173463769358
64,12922.842586779434,12881.47455038763,11741.508137420537,64,14441.094847361011,14394.866035374142,13120.969584114657,27363.9374341404,27276.3405857618,24862.4777215352,0.4896331675021824
8,1789.2400506473225,1789.150626138687,1786.6823762085726,128,29680.790253307496,29300.031291791915,18838.859572550227,31470.0303039548,31089.1819179306,20625.5419487588,0.48324037465289427
4,1091.755311831357,1091.7416865881078,1091.3651192955094,128,29680.790253307496,29300.031291791915,18838.859572550227,30772.5455651389,30391.77297838,19930.2246918457,0.47715222191868173
1,273.29920646303856,0.002928054909397,1220.0230067413077,128,29680.790253307496,29300.031291791915,18838.859572550227,29954.0894597705,29300.0342198468,20058.8825792915,0.4728514713189917
2,460.7675824099422,460.76613794466834,460.72641166787855,128,29680.790253307496,29300.031291791915,18838.859572550227,30141.5578357174,29760.7974297366,19299.5859842181,0.470900232560111
128,25710.498634561685,25380.673680386302,16318.853832989353,16,4110.266499814783,4109.44464565027,4086.768159075887,29820.7651343765,29490.1183260366,20405.6219920652,0.46894486717782163
128,25710.498634561685,25380.673680386302,16318.853832989353,8,2084.875624795389,2084.7714284681315,2081.895343547835,27795.3742593571,27465.4451088544,18400.7491765372,0.4494690398533393
128,25710.498634561685,25380.673680386302,16318.853832989353,4,1223.611919018219,1223.596650748883,1223.1746390262,26934.1105535799,26604.2703311352,17542.0284720156,0.4409987718309527
128,25710.498634561685,25380.673680386302,16318.853832989353,2,553.1165854776567,553.1148503373639,553.0671631709951,26263.6152200393,25933.7885307237,16871.9209961603,0.43384465951374035
32,6324.837620473849,6319.7781726092335,6180.238631649155,64,14441.094847361011,14394.866035374142,13120.969584114657,20765.9324678349,20714.6442079834,19301.2082157638,0.42993326530399123
128,25710.498634561685,25380.673680386302,16318.853832989353,1,293.0890906957744,0.0029280549073906,0.00012200229972796142,26003.5877252575,25380.6766084412,16318.8539549917,0.4285917155551348
64,12922.842586779434,12881.47455038763,11741.508137420537,32,7460.969053401793,7455.0007833279,7460.969053401793,20383.8116401812,20336.4753337155,19202.4771908223,0.4263262114441887
16,3262.023024118206,3261.370769075867,3243.3740775820897,64,14441.094847361011,14394.866035374142,13120.969584114657,17703.1178714792,17656.23680445,16364.3436616967,0.39565832765528675
64,12922.842586779434,12881.47455038763,11741.508137420537,16,4110.266499814783,4109.44464565027,4086.768159075887,17033.1090865942,16990.9191960379,15828.2762964964,0.3870257817557103
8,1789.2400506473225,1789.150626138687,1786.6823762085726,64,14441.094847361011,14394.866035374142,13120.969584114657,16230.3348980083,16184.0166615128,14907.6519603232,0.37754064025193673
4,1091.755311831357,1091.7416865881078,1091.3651192955094,64,14441.094847361011,14394.866035374142,13120.969584114657,15532.8501591924,15486.6077219622,14212.3347034102,0.36860688830800087
64,12922.842586779434,12881.47455038763,11741.508137420537,8,2084.875624795389,2084.7714284681315,2081.895343547835,15007.7182115748,14966.2459788558,13823.4034809684,0.3604189402613996
2,460.7675824099422,460.76613794466834,460.72641166787855,64,14441.094847361011,14394.866035374142,13120.969584114657,14901.862429771,14855.6321733188,13581.6959957825,0.3598260862148544
1,273.29920646303856,0.002928054909397,122.00230067413077,64,14441.094847361011,14394.866035374142,13120.969584114657,14714.3940538241,14394.8689634291,13242.9718847888,0.3551435326407725
32,6324.837620473849,6319.7781726092335,6180.238631649155,32,7460.969053401793,7455.0007833279,7460.969053401793,13785.8066738756,13774.7789559371,13641.2076850509,0.3512543032000885
64,12922.842586779434,12881.47455038763,11741.508137420537,4,1223.611919018219,1223.596650748883,1223.1746390262,14146.4545057977,14105.0712011365,12964.6827764467,0.34861480621299
64,12922.842586779434,12881.47455038763,11741.508137420537,2,553.1165854776567,553.1148503373639,553.0671631709951,13475.9591722571,13434.589400725,12294.5753005915,0.3388246743749075
64,12922.842586779434,12881.47455038763,11741.508137420537,1,293.0890906957744,0.0029280549073906,0.00012200229972796142,13215.9316774752,12881.4774784425,11741.5082594228,0.33187479453606394
16,3262.023024118206,3261.370769075867,3243.3740775820897,32,7460.969053401793,7455.0007833279,7460.969053401793,10722.99207752,10716.3715524038,10704.3431309839,0.30684929053011767
32,6324.837620473849,6319.7781726092335,6180.238631649155,16,4110.266499814783,4109.44464565027,4086.768159075887,10435.1041202886,10429.2228182595,10267.006790725,0.30100858758495036
8,1789.2400506473225,1789.150626138687,1786.6823762085726,32,7460.969053401793,7455.0007833279,7460.969053401793,9250.20910404912,9244.15140946659,9247.65142961037,0.28274730079609167
4,1091.755311831357,1091.7416865881078,1091.3651192955094,32,7460.969053401793,7455.0007833279,7460.969053401793,8552.72436523315,8546.74246991601,8552.3341726973,0.27063015139984475
32,6324.837620473849,6319.7781726092335,6180.238631649155,8,2084.875624795389,2084.7714284681315,2081.895343547835,8409.71324526924,8404.54960107737,8262.13397519699,0.26611296283269714
2,460.7675824099422,460.76613794466834,460.72641166787855,32,7460.969053401793,7455.0007833279,7460.969053401793,7921.73663581174,7915.76692127257,7921.69546506967,0.2588756322479658
1,273.29920646303856,0.002928054909397,12.200230067413075,32,7460.969053401793,7455.0007833279,7460.969053401793,7734.26825986483,7455.00371138281,7473.16928346921,0.25181438764960445
32,6324.837620473849,6319.7781726092335,6180.238631649155,4,1223.611919018219,1223.596650748883,1223.1746390262,7548.44953949207,7543.37482335812,7403.41327067536,0.2501205164455126
16,3262.023024118206,3261.370769075867,3243.3740775820897,16,4110.266499814783,4109.44464565027,4086.768159075887,7372.28952393299,7370.81541472614,7330.14223665798,0.24830134846677548
32,6324.837620473849,6319.7781726092335,6180.238631649155,2,553.1165854776567,553.1148503373639,553.0671631709951,6877.95420595151,6872.8930229466,6733.30579482015,0.23682650451200346
32,6324.837620473849,6319.7781726092335,6180.238631649155,1,293.0890906957744,0.0029280549073906,0.00012200229972796142,6617.92671116962,6319.78110066414,6180.23875365145,0.22734845418811028
8,1789.2400506473225,1789.150626138687,1786.6823762085726,16,4110.266499814783,4109.44464565027,4086.768159075887,5899.50655046211,5898.59527178896,5873.45053528446,0.2187120051951019
16,3262.023024118206,3261.370769075867,3243.3740775820897,8,2084.875624795389,2084.7714284681315,2081.895343547835,5346.8986489136,5346.142197544,5325.26942112992,0.20619489586047496
4,1091.755311831357,1091.7416865881078,1091.3651192955094,16,4110.266499814783,4109.44464565027,4086.768159075887,5202.02181164614,5201.18633223838,5178.1332783714,0.20345128403249058
2,460.7675824099422,460.76613794466834,460.72641166787855,16,4110.266499814783,4109.44464565027,4086.768159075887,4571.03408222473,4570.21078359494,4547.49457074377,0.18853938452229715
16,3262.023024118206,3261.370769075867,3243.3740775820897,4,1223.611919018219,1223.596650748883,1223.1746390262,4485.63494313643,4484.96741982475,4466.54871660829,0.18615809787354412
1,273.29920646303856,0.002928054909397,1.2200230067413076,16,4110.266499814783,4109.44464565027,4086.768159075887,4383.56570627782,4109.44757370518,4087.98818208263,0.17931760149331177
8,1789.2400506473225,1789.150626138687,1786.6823762085726,8,2084.875624795389,2084.7714284681315,2081.895343547835,3874.11567544271,3873.92205460682,3868.57771975641,0.17116073686210231
16,3262.023024118206,3261.370769075867,3243.3740775820897,2,553.1165854776567,553.1148503373639,553.0671631709951,3815.13960959586,3814.48561941323,3796.44124075308,0.16916952466225849
16,3262.023024118206,3261.370769075867,3243.3740775820897,1,293.0890906957744,0.0029280549073906,0.00012200229972796142,3555.11211481398,3261.37369713077,3243.37419958439,0.1567649565951111
4,1091.755311831357,1091.7416865881078,1091.3651192955094,8,2084.875624795389,2084.7714284681315,2081.895343547835,3176.63093662675,3176.51311505624,3173.26046284334,0.1524416316950136
8,1789.2400506473225,1789.150626138687,1786.6823762085726,4,1223.611919018219,1223.596650748883,1223.1746390262,3012.85196966554,3012.74727688757,3009.85701523477,0.14767814688790692
2,460.7675824099422,460.76613794466834,460.72641166787855,8,2084.875624795389,2084.7714284681315,2081.895343547835,2545.64320720533,2545.5375664128,2542.62175521571,0.1336833615211267
8,1789.2400506473225,1789.150626138687,1786.6823762085726,2,553.1165854776567,553.1148503373639,553.0671631709951,2342.35663612498,2342.26547647605,2339.74953937957,0.1271736975126933
4,1091.755311831357,1091.7416865881078,1091.3651192955094,4,1223.611919018219,1223.596650748883,1223.1746390262,2315.36723084958,2315.33833733699,2314.53975832171,0.12651689706071362
1,273.29920646303856,0.002928054909397,0.12200230067413076,8,2084.875624795389,2084.7714284681315,2081.895343547835,2358.17483125843,2084.77435652304,2082.01734584851,0.12163841981380652
8,1789.2400506473225,1789.150626138687,1786.6823762085726,1,293.0890906957744,0.0029280549073906,0.00012200229972796142,2082.3291413431,1789.15355419359,1786.68249821087,0.11160811285474119
2,460.7675824099422,460.76613794466834,460.72641166787855,4,1223.611919018219,1223.596650748883,1223.1746390262,1684.37950142816,1684.36278869355,1683.90105069408,0.1046968944496556
4,1091.755311831357,1091.7416865881078,1091.3651192955094,2,553.1165854776567,553.1148503373639,553.0671631709951,1644.87189730901,1644.85653692547,1644.4322824665,0.10321684712360772
1,273.29920646303856,0.002928054909397,0.012200230067413076,4,1223.611919018219,1223.596650748883,1223.1746390262,1496.91112548126,1223.59957880379,1223.18683925627,0.09005385084096518
4,1091.755311831357,1091.7416865881078,1091.3651192955094,1,293.0890906957744,0.0029280549073906,0.00012200229972796142,1384.84440252713,1091.74461464302,1091.36524129781,0.08471008020592025
2,460.7675824099422,460.76613794466834,460.72641166787855,2,553.1165854776567,553.1148503373639,553.0671631709951,1013.8841678876,1013.88098828203,1013.79357483887,0.07733337696416347
1,273.29920646303856,0.002928054909397,0.0012200230067413076,2,553.1165854776567,553.1148503373639,553.0671631709951,826.415791940695,553.117778392273,553.068383194002,0.05830184632693532
2,460.7675824099422,460.76613794466834,460.72641166787855,1,293.0890906957744,0.0029280549073906,0.00012200229972796142,753.856673105717,460.769065999576,460.726533670178,0.053206704605127345
1,273.29920646303856,0.002928054909397,0.00012200230067413076,1,293.0890906957744,0.0029280549073906,0.00012200229972796142,566.388297158813,0.0058561098167877,0.000244004600402,0.00029314931873710397
64,12922.842586779434,12881.47455038763,11741.508137420537,256,57260.7232286397,54300.13145784292,9.316001525488321e-09,70183.5658154191,67181.6060082305,11741.5081374299,0.0
256,48215.9452954693,45723.00213179926,9.315949351218488e-08,2,553.1165854776567,553.1148503373639,553.0671631709951,48769.061880947,46276.1169821366,553.067163264155,0.0
256,48215.9452954693,45723.00213179926,0.09315949351218487,128,29680.790253307496,29300.031291791915,18838.859572550227,77896.7355487768,75023.0334235912,18838.9527320437,0.0
256,48215.9452954693,45723.00213179926,0.009315949351218489,64,14441.094847361011,14394.866035374142,13120.969584114657,62657.0401428303,60117.8681671734,13120.978900064,0.0
256,48215.9452954693,45723.00213179926,0.0009315949351218488,32,7460.969053401793,7455.0007833279,7460.969053401793,55676.9143488711,53178.0029151272,7460.96998499673,0.0
256,48215.9452954693,45723.00213179926,9.315949351218487e-05,16,4110.266499814783,4109.44464565027,4086.768159075887,52326.2117952841,49832.4467774495,4086.76825223538,0.0
256,48215.9452954693,45723.00213179926,9.315949351218489e-06,8,2084.875624795389,2084.7714284681315,2081.895343547835,50300.8209202647,47807.7735602674,2081.89535286378,0.0
256,48215.9452954693,45723.00213179926,9.315949351218488e-07,4,1223.611919018219,1223.596650748883,1223.1746390262,49439.5572144875,46946.5987825481,1223.17463995779,0.0
256,48215.9452954693,45723.00213179926,9.315949351218488e-09,1,293.0890906957744,0.0029280549073906,0.00012200229972796142,48509.0343861651,45723.0050598542,0.0001220116156773,0.0
32,6324.837620473849,6319.7781726092335,6180.238631649155,256,57260.7232286397,54300.13145784292,9.316001525488321e-09,63585.5608491135,60619.9096304521,6180.23863165847,0.0
128,25710.498634561685,25380.673680386302,16318.853832989353,256,57260.7232286397,54300.13145784292,9.316001525488321e-09,82971.2218632014,79680.8051382292,16318.8538329987,0.0
1,273.29920646303856,0.002928054909397,12200.230067413077,256,57260.7232286397,54300.13145784292,9.316001525488321e-09,57534.0224351027,54300.1343858978,12200.2300674224,0.0
2,460.7675824099422,460.76613794466834,460.72641166787855,256,57260.7232286397,54300.13145784292,9.316001525488321e-09,57721.4908110496,54760.8975957876,460.726411677195,0.0
4,1091.755311831357,1091.7416865881078,1091.3651192955094,256,57260.7232286397,54300.13145784292,9.316001525488321e-09,58352.4785404711,55391.873144431,1091.36511930483,0.0
8,1789.2400506473225,1789.150626138687,1786.6823762085726,256,57260.7232286397,54300.13145784292,9.316001525488321e-09,59049.963279287,56089.2820839816,1786.68237621789,0.0
16,3262.023024118206,3261.370769075867,3243.3740775820897,256,57260.7232286397,54300.13145784292,9.316001525488321e-09,60522.7462527579,57561.5022269188,3243.37407759141,0.0
256,48215.9452954693,45723.00213179926,0.9315949351218488,256,57260.7232286397,54300.13145784292,9.316001525488321e-09,105476.668524109,100023.133589642,0.93159494443785,0.0
